request_type,filename,file_size,arrival_time_ns,start_time_ns,finish_time_ns,response_time_ms,waiting_time_ms
GET,small_3.txt,4050,1050388988637541,1050388988720625,1050388988791083,0.153542,0.083084
GET,medium_2.txt,16200,1050389044810333,1050389044886125,1050389045058625,0.248292,0.075792
GET,small.txt,42,1050389101399041,1050389101433500,1050389101481250,0.082209,0.034459
GET,xlarge_1.txt,810000,1050389172410250,1050389173927708,1050389279412500,107.002,1.51746
GET,medium_1.txt,8100,1050389538264666,1050389538320416,1050389538632041,0.367375,0.05575
PUT,large_2.txt,162000,1050389812893375,1050390003781791,1050390003863416,190.97,190.888
GET,xlarge_1.txt,810000,1050390193593041,1050390194943125,1050390313793833,120.201,1.35008
PUT,large_2.txt,162000,1050390353831208,1050390471228833,1050390471312416,117.481,117.398
GET,medium_3.txt,40500,1050392458134375,1050392458256208,1050392458741333,0.606958,0.121833
PUT,large_1.txt,81000,1050393618917500,1050393808145583,1050393808244166,189.327,189.228
PUT,medium_2.txt,16200,1050395823156291,1050395862523333,1050395862571875,39.4156,39.367
GET,.DS_Store,6149,1050396622536208,1050396622579916,1050396622606791,0.070583,0.043708
PUT,xlarge_1.txt,810000,1050396706709125,1050397409392375,1050397409491958,702.783,702.683
GET,large_3.txt,405000,1050397411062583,1050397412219875,1050397414847416,3.78483,1.15729
GET,xlarge_1.txt,810000,1050397409398166,1050397411019041,1050397517543958,108.146,1.62088
GET,.DS_Store,6149,1050397558296666,1050397558330708,1050397558362666,0.066,0.034042
PUT,small_1.txt,810,1050397757286083,1050397758687000,1050397758714333,1.42825,1.40092
GET,medium_2.txt,16200,1050398120096250,1050398120166708,1050398120582625,0.486375,0.070458
PUT,large_3.txt,405000,1050399926910000,1050400348719750,1050400348793125,421.883,421.81
GET,large_1.txt,81000,1050400348727125,1050400349051000,1050400349549458,0.822333,0.323875
GET,medium_1.txt,8100,1050400858439250,1050400858483166,1050400858548250,0.109,0.043916
PUT,xlarge_1.txt,810000,1050401482662208,1050402381453291,1050402381642375,898.98,898.791
PUT,small_3.txt,4050,1050402381452916,1050402383788416,1050402383799333,2.34642,2.3355
PUT,small.txt,42,1050402395367083,1050402395425750,1050402395436333,0.06925,0.058667
GET,small.txt,42,1050402408348333,1050402408361291,1050402408370416,0.022083,0.012958
PUT,large_1.txt,81000,1050402485145041,1050402522171958,1050402522201708,37.0567,37.0269
PUT,small_2.txt,1620,1050402535825208,1050402536582291,1050402536592208,0.767,0.757083
PUT,small_2.txt,1620,1050402714767583,1050402715544125,1050402715554583,0.787,0.776542
PUT,large_1.txt,81000,1050402903279583,1050402955345041,1050402955407416,52.1278,52.0655
GET,small_1.txt,810,1050403152579875,1050403152619916,1050403152645041,0.065166,0.040041
PUT,small_3.txt,4050,1050403180050416,1050403186216458,1050403186240375,6.18996,6.16604
PUT,medium_3.txt,40500,1050403262283708,1050403295476416,1050403295491791,33.2081,33.1927
GET,medium_1.txt,8100,1050403841806416,1050403841856708,1050403841926041,0.119625,0.050292
PUT,large_2.txt,162000,1050404118242083,1050404227828416,1050404227859375,109.617,109.586
GET,large_3.txt,405000,1050404371240750,1050404371552708,1050404372789791,1.54904,0.311958
GET,large_3.txt,405000,1050404553981333,1050404554266666,1050404555560416,1.57908,0.285333
GET,.DS_Store,6149,1050404690265291,1050404690282250,1050404690296875,0.031584,0.016959
GET,large_2.txt,162000,1050404743078375,1050404743201875,1050404743694416,0.616041,0.1235
GET,small.txt,42,1050405002110125,1050405002124250,1050405002132916,0.022791,0.014125
GET,large_3.txt,405000,1050405338189291,1050405338584500,1050405340388958,2.19967,0.395209
GET,small.txt,42,1050415794108375,1050415794968458,1050415794990083,0.881708,0.860083
GET,medium_1.txt,8100,1050415795068458,1050415795777791,1050415795953625,0.885167,0.709333
GET,large_2.txt,162000,1050415794162333,1050415795025250,1050415796957166,2.79483,0.862917
GET,large_2.txt,162000,1050415794496958,1050415795267875,1050415800981791,6.48483,0.770917
PUT,small_2.txt,1620,1050415799948458,1050415803019333,1050415803078000,3.12954,3.07088
GET,small_2.txt,1620,1050415822832458,1050415822882916,1050415822921916,0.089458,0.050458
PUT,.DS_Store,6149,1050415835797416,1050415843177291,1050415843218250,7.42083,7.37988
PUT,medium_2.txt,16200,1050415895236125,1050415913289291,1050415917925458,22.6893,18.0532
PUT,.DS_Store,6149,1050415913325458,1050415919427416,1050415919442916,6.11746,6.10196
GET,small_2.txt,1620,1050415930386708,1050415930406583,1050415930418458,0.03175,0.019875
PUT,small_1.txt,810,1050415938474583,1050415939405041,1050415939415125,0.940542,0.930458
GET,medium_3.txt,40500,1050415951374458,1050415951478125,1050415953140083,1.76562,0.103667
PUT,small.txt,42,1050415957012500,1050415957112666,1050415957138416,0.125916,0.100166
PUT,small_1.txt,810,1050415974133083,1050415975171375,1050415975211583,1.0785,1.03829
PUT,small_1.txt,810,1050415995007250,1050415996037916,1050415996073041,1.06579,1.03067
PUT,medium_3.txt,40500,1050416048465708,1050416080155833,1050416080174625,31.7089,31.6901
PUT,medium_1.txt,8100,1050416140715333,1050416149890333,1050416149926833,9.2115,9.175
GET,xlarge_1.txt,810000,1050416009579750,1050416013147083,1050416152047666,142.468,3.56733
GET,small_3.txt,4050,1050416161252166,1050416161294500,1050416161449166,0.197,0.042334
PUT,small_3.txt,4050,1050416220548958,1050416225239958,1050416225288916,4.73996,4.691
GET,medium_3.txt,40500,1050416225258000,1050416225433625,1050416225763833,0.505833,0.175625
GET,.DS_Store,6149,1050416238505083,1050416238545208,1050416238565125,0.060042,0.040125
PUT,small_2.txt,1620,1050416310075083,1050416312193916,1050416312220750,2.14567,2.11883
GET,medium_2.txt,16200,1050416323257375,1050416323318625,1050416323437750,0.180375,0.06125
GET,medium_2.txt,16200,1050416446145333,1050416446205125,1050416446318916,0.173583,0.059792
PUT,small.txt,42,1050416494806791,1050416494895458,1050416494936458,0.129667,0.088667
PUT,small_2.txt,1620,1050416522447000,1050416524659333,1050416524690083,2.24308,2.21233
GET,medium_2.txt,16200,1050416537914291,1050416537982291,1050416538475541,0.56125,0.068
GET,large_2.txt,162000,1050416549789000,1050416550098125,1050416551066041,1.27704,0.309125
GET,large_1.txt,81000,1050416655148958,1050416655320083,1050416655871541,0.722583,0.171125
PUT,large_2.txt,162000,1050416656488208,1050416939037833,1050416939067875,282.58,282.55
GET,small_3.txt,4050,1050416952269125,1050416952320541,1050416952461125,0.192,0.051416
GET,medium_3.txt,40500,1050417046365000,1050417046470666,1050417046759791,0.394791,0.105666
GET,small_3.txt,4050,1050417099146666,1050417099189166,1050417099237833,0.091167,0.0425
PUT,medium_1.txt,8100,1050417121371458,1050417131811083,1050417131867166,10.4957,10.4396
GET,small_2.txt,1620,1050417140660166,1050417140695333,1050417140722208,0.062042,0.035167
GET,large_3.txt,405000,1050417143263208,1050417143929541,1050417146586666,3.32346,0.666333
PUT,small.txt,42,1050417164643666,1050417164731291,1050417164752250,0.108584,0.087625
GET,large_3.txt,405000,1050417176336166,1050417177027666,1050417182687208,6.35104,0.6915
PUT,medium_1.txt,8100,1050417335171166,1050417345310166,1050417345324791,10.1536,10.139
PUT,small.txt,42,1050417358934958,1050417359031375,1050417359070208,0.13525,0.096417
PUT,large_1.txt,81000,1050417361968000,1050417437180833,1050417437270208,75.3022,75.2128
GET,large_3.txt,405000,1050417448703750,1050417449352250,1050417451818083,3.11433,0.6485
PUT,small_2.txt,1620,1050417454042083,1050417455930083,1050417455952875,1.91079,1.888
PUT,medium_1.txt,8100,1050417514706833,1050417523898375,1050417523931625,9.22479,9.19154
PUT,large_3.txt,405000,1050417562374125,1050417838748666,1050417838872625,276.498,276.375
PUT,medium_2.txt,16200,1050417838752333,1050417846827000,1050417846866541,8.11421,8.07467
GET,small.txt,42,1050417852620166,1050417852648416,1050417852666083,0.045917,0.02825
PUT,.DS_Store,6149,1050417895475541,1050417902408458,1050417902453958,6.97842,6.93292
PUT,medium_2.txt,16200,1050417958692833,1050417982078875,1050417982124750,23.4319,23.386
PUT,small.txt,42,1050417997228000,1050417997313583,1050417997335625,0.107625,0.085583
GET,medium_1.txt,8100,1050418010595083,1050418010647333,1050418010721708,0.126625,0.05225
GET,.DS_Store,6149,1050418079916208,1050418079952125,1050418079976041,0.059833,0.035917
PUT,small_1.txt,810,1050418138518375,1050418139469250,1050418139491583,0.973208,0.950875
PUT,medium_3.txt,40500,1050418385211750,1050418416805250,1050418416821041,31.6093,31.5935
PUT,small_2.txt,1620,1050418448273375,1050418450194875,1050418450261291,1.98792,1.9215
PUT,small_3.txt,4050,1050418496003416,1050418500878833,1050418500952541,4.94913,4.87542
PUT,medium_3.txt,40500,1050418745931875,1050418777658875,1050418777676875,31.745,31.727
PUT,small_1.txt,810,1050418796075041,1050418797069416,1050418797111916,1.03687,0.994375
PUT,large_1.txt,81000,1050419282185291,1050419380431500,1050419380520583,98.3353,98.2462
PUT,small_3.txt,4050,1050419411346458,1050419420127125,1050419420205625,8.85917,8.78067
PUT,small_2.txt,1620,1050419441471708,1050419447808000,1050419447881916,6.41021,6.33629
GET,xlarge_1.txt,810000,1050419461961083,1050419463383375,1050419550903708,88.9426,1.42229
PUT,xlarge_1.txt,810000,1050419561479208,1050420503272958,1050420503350166,941.871,941.794
PUT,large_3.txt,405000,1050420503277916,1050420688958958,1050420689012000,185.734,185.681
PUT,small_3.txt,4050,1050420688973458,1050420690849791,1050420690864791,1.89133,1.87633
GET,small_2.txt,1620,1050420690829041,1050420690850666,1050420690873958,0.044917,0.021625
PUT,xlarge_1.txt,810000,1050420690847166,1050421471630291,1050421471803625,780.956,780.783
PUT,medium_3.txt,40500,1050421471633750,1050421492776125,1050421492869666,21.2359,21.1424
GET,medium_3.txt,40500,1050421492762166,1050421492806125,1050421493166166,0.404,0.043959
